insitucion_educativa;codigo_dane_sede;nombre_sede_educativa;direccion;telefono_1;telefono_2
Institución Educativa Humberto Jordan Mazuera;376001017608;Miguel Camacho Perea;KR 28 A 72 F 09;4369956;0
Institución Educativa Humberto Jordan Mazuera;176001025962;Villablanca;DG 72 F 28 A 05;4423336;0
Institución Educativa Inem Jorge Isaacs;176001005813;Sede Principal;KR 5 N 61 126;4470128;3206180085
Institución Educativa Inem Jorge Isaacs;176001030125;Camilo Torres;KR 9 N 56 BN 57;4470128;3206180085
Institución Educativa Inem Jorge Isaacs;176001028171;Cecilia Muñoz Ricaurte;CL 77 KR 8 N;4470128;3206180085
Institución Educativa Inem Jorge Isaacs;176001009011;Centro Educativo Del Norte;KR 4N 51 AN 33;4470128;3206180085
Institución Educativa Inem Jorge Isaacs;176001004108;Fray Domingo De Las Casas;CL 65 6 40;4470128;3206180085
Institución Educativa Inem Jorge Isaacs;176001016009;Las Americas;CL 82 3 AN 03;4470128;3206180085
Institución Educativa Inem Jorge Isaacs;176001003837;Pablo Emilio Caicedo;KR 5 DG 7 39;4470128;3206180085
Institución Educativa Isaias Gamboa;176001004973;Sede Principal;AV 4 OESTE 12 05;8829377;0
Institución Educativa Isaias Gamboa;176001014120;Alejandro Cabal Pombo;CL 26 OESTE 8 17;8829099;0
Institución Educativa Isaias Gamboa;276001043884;El Aguacatal;KM 2 VÍA AGUACATAL;8934135;0
Institución Educativa Isaias Gamboa;176001003365;Jose Celestino Mutis;AV 7 B OESTE 18 02;8941401;0
Institución Educativa Isaias Gamboa;176001006062;La Inmaculada;CL 10 OESTE 5 45;8944201;0
Institución Educativa Jesus Villafane Franco;176001024273;Sede Principal;CL 72 P TRANSV 72 S ESQUINA;4266119;3146210265
Institución Educativa Jesus Villafane Franco;376001023667;Omaira Sanchez;KR 27G1 72M2 10;4266898;0
Institución Educativa Joaquin De Cayzedo Y Cuero;176001005716;Sede Principal;KR 35 15 33;3352170;3154479539
Institución Educativa Joaquin De Cayzedo Y Cuero;176001004701;Camilo Torres;KR 24 10 A 98;5580905;0
Institución Educativa Joaquin De Cayzedo Y Cuero;176001004710;General Carlos Alban;CL 18 A 24 65;3261233;0
Institución Educativa Joaquin De Cayzedo Y Cuero;176001005112;San Roque;KR 32 A 15 A 59;3365639;0
Institución Educativa Jose Antonio Galán;176001003195;Sede Principal;CL 41 3N 11;3798853;3113871157
Institución Educativa Jose Antonio Galán;176001004141;Rafael Zamorano;KR 2N 45A 12;4466532;0
Institución Educativa Jose Holguin Garces;176001008669;Sede Principal;AV 4 A OESTE 23 108;8942322;8942323
